address1,category,category1,category2,city,latitude,longitude,name,phone,price,rating,review_count,url,zip
6171 W Century Blvd,Cocktail Bars,Jazz & Blues,,Los Angeles,33.94601,-118.39345,Sam First Bar,+14248002006,$$,4.5,72,https://www.yelp.com/biz/sam-first-bar-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
9132 S Sepulveda Blvd,Bars,American (New),,Los Angeles,33.95381,-118.39565,Melody Bar and Grill,+13106701994,$$,4,601,https://www.yelp.com/biz/melody-bar-and-grill-los-angeles-2?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
7241 W Manchester Ave,Mexican,Bars,,Los Angeles,33.960296,-118.42056,Cinco,+13109100895,$$,4,527,https://www.yelp.com/biz/cinco-los-angeles-2?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
5622 W Manchester Ave,Sports Bars,Lounges,,Los Angeles,33.959388,-118.3794633,Lei Aloha,+13106414544,$,4.5,38,https://www.yelp.com/biz/lei-aloha-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
1031 W Manchester Blvd,Breweries,,,Inglewood,33.9615419494809,-118.374757488917,Three Weavers Brewing Co,+13104005830,$,4.5,338,https://www.yelp.com/biz/three-weavers-brewing-co-inglewood?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90301
140 Main St,Breweries,,,El Segundo,33.9177085,-118.4156584,El Segundo Brewing,+13105293882,$,4.5,337,https://www.yelp.com/biz/el-segundo-brewing-el-segundo-2?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
195 Culver Blvd,Bars,,,Playa Del Rey,33.95899,-118.44859,The Harbor Room,+13108216550,$,4.5,63,https://www.yelp.com/biz/the-harbor-room-playa-del-rey?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90293
12740 Culver Blvd,Dive Bars,Sports Bars,,Los Angeles,33.9852859252787,-118.424752990213,90 West Lounge,+13108214000,$,4.5,125,https://www.yelp.com/biz/90-west-lounge-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90066
221 Richmond St,Lounges,Dive Bars,,El Segundo,33.918506,-118.417427,Purple Orchid,+13103225829,$$,3.5,261,https://www.yelp.com/biz/purple-orchid-el-segundo?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
13126 Hawthorne Blvd,Bars,,,Hawthorne,33.91322,-118.35204,The Corner Bar,+13103491154,$,4.5,93,https://www.yelp.com/biz/the-corner-bar-hawthorne?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90250
