address1,category,category1,category2,city,latitude,longitude,name,phone,price,rating,review_count,url,zip
9149 S Sepulveda Blvd,Burgers,Fast Food,,Los Angeles,33.9537021005473,-118.396771789024,In-N-Out Burger,+18007861000,$,4,1426,https://www.yelp.com/biz/in-n-out-burger-los-angeles-2?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
11750 Jefferson Blvd,Fast Food,,,Los Angeles,33.98618929,-118.4007124,Chick-fil-A,+13103918364,$,3.5,408,https://www.yelp.com/biz/chick-fil-a-los-angeles-12?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90230
1 World Way,Burgers,American (Traditional),Fast Food,Los Angeles,33.946711,-118.407369,Shake Shack,,$$,3,216,https://www.yelp.com/biz/shake-shack-los-angeles-3?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
8321 Lincoln Blvd,American (New),Burgers,Asian Fusion,Los Angeles,33.9620098,-118.4214944,Humble Potato,+13239892242,$$,4,855,https://www.yelp.com/biz/humble-potato-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
5908 W Manchester Ave,Fast Food,Burgers,Coffee & Tea,Los Angeles,33.959655,-118.386112,McDonald's,+13104103200,$,2,109,https://www.yelp.com/biz/mcdonalds-los-angeles-139?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
7101 W Manchester Ave,Mexican,Tex-Mex,,Los Angeles,33.95998,-118.41685,Benny's Tacos & Chicken Rotisserie,+13106708226,$,4.5,1659,https://www.yelp.com/biz/bennys-tacos-and-chicken-rotisserie-los-angeles-4?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
1 World Way,Chinese,Fast Food,,Los Angeles,33.9463629896365,-118.401084467769,Panda Express,+14247509969,,4.5,2,https://www.yelp.com/biz/panda-express-los-angeles-63?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
8500 Lincoln Blvd,Tex-Mex,Fast Food,Mexican,Los Angeles,33.96078,-118.4198,Taco Bell,+13106704050,$,1.5,67,https://www.yelp.com/biz/taco-bell-los-angeles-51?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
1 World Way,Fast Food,,,Los Angeles,33.9444,-118.39844,Chick-fil-A,+13103438309,$,3.5,14,https://www.yelp.com/biz/chick-fil-a-los-angeles-22?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
8651 La Tijera Blvd,Mexican,,,Los Angeles,33.95878,-118.39312,Del Taco,+13106455667,$,3,79,https://www.yelp.com/biz/del-taco-los-angeles-7?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
